source_id,organization,title,url,accessed,source_type,topic,evidence_level,claim_type,status,notes,published_or_updated,source_version_or_commit,lifecycle_status
SB-001,SkillsBench,SkillsBench,https://www.skillsbench.ai/,2026-08-26,benchmark site and documentation,skill effectiveness,A,benchmark observation,reviewed,"Paired no-skill and skill tasks in reproducible environments",not_stated,registry_v1.1,current_registry
SB-002,SkillsBench,Introducing SkillsBench,https://www.skillsbench.ai/blogs/introducing-skillsbench,2026-08-26,official benchmark article,skill effectiveness,B,vendor benchmark report,reviewed,"Reported effects vary by task model and harness; some skills hurt performance",not_stated,paper-v1,historical_launch_snapshot
HF-001,Harbor,Core concepts,https://www.harborframework.com/docs/core-concepts,2026-08-26,official documentation,task trial and job model,A,documented behavior,reviewed,"Task equals instruction plus environment plus verifier",not_stated,versionless_live_docs,current_pre_1.0
HF-002,Harbor,Task structure,https://www.harborframework.com/docs/tasks,2026-08-26,official documentation,verifiers artifacts and isolation,A,documented behavior,reviewed,"Reward output; artifacts; shared or separate verifier",not_stated,versionless_live_docs,current_pre_1.0
HF-003,Harbor,Skills,https://www.harborframework.com/docs/run-jobs/skills,2026-08-26,official documentation,skill injection and provenance,A,documented behavior,reviewed,"Local or Git skills; resolved commit and content digest in lock",not_stated,versionless_live_docs,current_pre_1.0
HF-004,Harbor,Run evaluations,https://www.harborframework.com/docs/run-jobs/run-evals,2026-08-26,official documentation,jobs results and viewer,A,documented behavior,reviewed,"Trials; job outputs; rewards; timing; artifacts; trajectories",not_stated,versionless_live_docs,current_pre_1.0
HF-005,Harbor,Agent trajectory format,https://www.harborframework.com/docs/agents/trajectory-format,2026-08-26,official documentation,ATIF trajectories,A,documented behavior,reviewed,"Messages; tool calls; token and cost fields; subagents",not_stated,ATIF_v1.7,current_pre_1.0
HF-006,Harbor,Dataset metrics,https://www.harborframework.com/docs/datasets/metrics,2026-08-26,official documentation,reward aggregation,A,documented behavior,reviewed,"Default mean and custom multi-metric aggregation",not_stated,versionless_live_docs,current_pre_1.0
HF-007,Harbor,Regrade trials,https://www.harborframework.com/docs/run-jobs/regrade,2026-08-26,official documentation,regrading,A,documented behavior,reviewed,"Re-evaluate retained artifacts without rerunning the agent under supported conditions",not_stated,versionless_live_docs,current_pre_1.0
HF-008,Harbor,Network policy,https://www.harborframework.com/docs/tasks/network-policy,2026-08-26,official documentation,sandbox networking,A,documented behavior,reviewed,"Public no-network and allowlist modes; omitted policy defaults public",not_stated,versionless_live_docs,current_pre_1.0
TB-001,Terminal-Bench,Terminal-Bench paper,https://arxiv.org/pdf/2601.11868,2026-08-26,research paper,terminal-agent benchmark,A,research finding,reviewed,"Outcome-oriented tasks; repeated trials; confidence intervals; contamination and infrastructure limits",2026-01,arXiv:2601.11868,current_paper
IA-001,UK AI Security Institute,Inspect AI,https://inspect.aisi.org.uk/,2026-08-26,official documentation,evaluation framework,A,documented behavior,reviewed,"Tasks datasets solvers agents scorers logs and sandboxes",not_stated,versionless_live_docs,current
IA-002,UK AI Security Institute,Inspect metrics,https://inspect.aisi.org.uk/metrics.html,2026-08-26,official documentation,statistics and agreement,A,documented behavior,reviewed,"Variance standard error confidence intervals frequencies and Krippendorff alpha",not_stated,versionless_live_docs,current
IA-003,UK AI Security Institute,Inspect log reference,https://inspect.aisi.org.uk/reference/inspect_ai.log.html,2026-08-26,official API reference,usage timing and transcripts,A,documented behavior,reviewed,"Per-sample tokens cost time retries messages events and scores",not_stated,versionless_live_docs,current
IA-004,UK AI Security Institute,Inspect sandboxing,https://inspect.aisi.org.uk/sandboxing.html,2026-08-26,official documentation,isolation and network,A,documented behavior,reviewed,"Per-sample sandboxes; generated Docker disables network; host-code and custom-Compose caveats",not_stated,versionless_live_docs,current
IA-005,UK AI Security Institute,Inspect dataframes,https://inspect.aisi.org.uk/dataframe.html,2026-08-26,official documentation,experiment analysis,A,documented behavior,reviewed,"Joinable eval sample message and event dataframes",not_stated,versionless_live_docs,current
PF-001,Promptfoo,Evaluating coding agents,https://www.promptfoo.dev/docs/guides/evaluate-coding-agents/,2026-08-26,official documentation,coding-agent regression,A,documented behavior,reviewed,"Coding-agent providers; assertions; repeats; traces; latency and cost",2026-08-26,versionless_live_docs,current
SW-001,SWE-bench,Evaluation guide,https://github.com/SWE-bench/SWE-bench/blob/main/docs/guides/evaluation.md,2026-08-26,official repository documentation,software issue resolution,A,documented behavior,reviewed,"Docker patch evaluation using fail-to-pass and pass-to-pass tests",not_stated,versionless_live_docs,current
LS-001,LangChain,LangSmith evaluation,https://docs.langchain.com/langsmith/evaluate-llm-application,2026-08-26,official documentation,hosted experiments and traces,B,documented behavior,reviewed,"Datasets experiments comparative scores latency tokens and production feedback",not_stated,versionless_live_docs,current
BT-001,Braintrust,Run evaluations,https://www.braintrust.dev/docs/evaluate/run-evaluations,2026-08-26,official documentation,hosted experiments and CI,B,documented behavior,reviewed,"Experiment snapshots scorers comparisons logs and CI workflows",not_stated,versionless_live_docs,current
HY-001,OpenBoa,Hydra v0.2 candidate tree,https://github.com/openboa-ai/hydra/tree/baf0ba3e2cb6b9fe5f90cb3580566f0372aa9597,2026-08-26,public repository snapshot,current implementation context,A,observed artifact,reviewed,"Named commit used for the read-only Hydra audit",2026-08-26,baf0ba3e2cb6b9fe5f90cb3580566f0372aa9597,candidate_snapshot
HY-002,OpenBoa,Hydra behavior evaluation runner,https://github.com/openboa-ai/hydra/blob/baf0ba3e2cb6b9fe5f90cb3580566f0372aa9597/scripts/run_behavior_evals.py,2026-08-26,public source code,decision-policy evaluation,A,observed implementation,reviewed,"Explicit skill prompts criteria attribution and usage capture",2026-08-26,baf0ba3e2cb6b9fe5f90cb3580566f0372aa9597,candidate_snapshot
HY-003,OpenBoa,Hydra behavior result index,https://github.com/openboa-ai/hydra/blob/baf0ba3e2cb6b9fe5f90cb3580566f0372aa9597/evals/results/README.md,2026-08-26,public evidence index,behavior result status,A,observed artifact,reviewed,"Distinguishes complete r13 from unmeasured v0.2 r14",2026-08-26,baf0ba3e2cb6b9fe5f90cb3580566f0372aa9597,candidate_snapshot
HY-004,OpenBoa,Hydra v0.1 r13 behavior ledger,https://github.com/openboa-ai/hydra/blob/baf0ba3e2cb6b9fe5f90cb3580566f0372aa9597/evals/results/2026-08-25-codex-0.144.5-v2-direct-r13.json,2026-08-26,public result ledger,tokens timing and behavior outcome,A,observed artifact,reviewed,"Attributable historical v0.1 run; not a v0.2 baseline",2026-08-25,"baf0ba3e2cb6b9fe5f90cb3580566f0372aa9597;measured:00187ca23cc207994af739b341d398bb6fbcbb90",historical_v0.1_evidence
HY-005,OpenBoa,Hydra outcome canary scenario,https://github.com/openboa-ai/hydra/blob/baf0ba3e2cb6b9fe5f90cb3580566f0372aa9597/evals/outcome-canary/scenarios/01-jsonl-handoff-cli.json,2026-08-26,public test fixture,outcome evaluation,A,observed artifact,reviewed,"One proposed CLI canary with six acceptance criteria",2026-08-26,baf0ba3e2cb6b9fe5f90cb3580566f0372aa9597,candidate_snapshot
HY-006,OpenBoa,Hydra outcome canary run schema,https://github.com/openboa-ai/hydra/blob/baf0ba3e2cb6b9fe5f90cb3580566f0372aa9597/evals/outcome-canary/canary-run.schema.json,2026-08-26,public schema,canary evidence fields,A,observed artifact,reviewed,"Defines exact-head CI review and collaboration observations",2026-08-26,baf0ba3e2cb6b9fe5f90cb3580566f0372aa9597,candidate_snapshot
HY-007,OpenBoa,Hydra validation workflow,https://github.com/openboa-ai/hydra/blob/baf0ba3e2cb6b9fe5f90cb3580566f0372aa9597/.github/workflows/validate.yml,2026-08-26,public workflow,CI coverage,A,observed implementation,reviewed,"Repository validation and unit tests; no live-model performance comparison",2026-08-26,baf0ba3e2cb6b9fe5f90cb3580566f0372aa9597,candidate_snapshot
